online_order,book_table,location,rest_type,dish_liked,cuisines,avg_cost,type,success
No,No,Banashankari,Quick Bites,Not specified,Fast Food,250.0,Delivery,0
No,No,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",175.0,Delivery,1
Yes,No,Vijay Nagar,Fine Dining,Not specified,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",250.0,Delivery,1
Yes,No,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",200.0,Delivery,1
No,No,Banashankari,Sweet Shop,Not specified,"Mithai, Street Food",100.0,Delivery,0
No,No,Banashankari,Casual Dining,Not specified,"North Indian, Chinese",350.0,Delivery,1
No,No,Banashankari,Bakery,Not specified,"Bakery, Desserts",150.0,Delivery,1
Yes,No,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",300.0,Delivery,1
No,No,Banashankari,Quick Bites,Not specified,North Indian,100.0,Delivery,0
No,No,Banashankari,Dessert Parlor,Not specified,Desserts,250.0,Delivery,0
No,No,Banashankari,Quick Bites,Not specified,Biryani,125.0,Delivery,0
No,No,Banashankari,Dessert Parlor,Not specified,Ice Cream,150.0,Delivery,0
No,No,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,300.0,Delivery,0
No,No,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",400.0,Delivery,0
No,No,Banashankari,Quick Bites,Not specified,"Fast Food, Bakery",125.0,Delivery,1
No,No,Banashankari,Casual Dining,Not specified,"North Indian, Iranian",475.0,Delivery,0
No,No,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",150.0,Delivery,0
Yes,No,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",200.0,Delivery,1
No,No,Banashankari,Quick Bites,Rooftop Ambience,South Indian,150.0,Delivery,0
No,No,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,100.0,Delivery,0
No,No,Banashankari,Quick Bites,Not specified,"South Indian, Biryani",150.0,Delivery,0
No,No,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,200.0,Delivery,1
No,No,Banashankari,Cafe,Not specified,"Cafe, Bakery",300.0,Delivery,0
No,No,Banashankari,Bakery,Not specified,"Bakery, Desserts",150.0,Delivery,0
No,No,Banashankari,Quick Bites,Not specified,"Biryani, North Indian, Chinese, Fast Food",150.0,Delivery,0
No,No,Banashankari,Quick Bites,Not specified,Biryani,150.0,Delivery,0
No,No,Banashankari,Quick Bites,Not specified,North Indian,150.0,Delivery,0
No,No,Banashankari,Quick Bites,Not specified,North Indian,75.0,Delivery,0
No,No,Banashankari,Bakery,Not specified,"Bakery, Desserts",200.0,Delivery,0
No,No,Banashankari,Bar,Not specified,"Chinese, North Indian",500.0,Delivery,0
Yes,No,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",150.0,Delivery,1
No,No,Banashankari,Quick Bites,Not specified,"Mangalorean, South Indian, North Indian",100.0,Delivery,0
No,No,Banashankari,Quick Bites,Not specified,"Fast Food, South Indian",50.0,Delivery,0
No,No,Banashankari,Quick Bites,Not specified,"Street Food, Fast Food",100.0,Delivery,0
No,No,Banashankari,Dessert Parlor,Not specified,"Ice Cream, Desserts",100.0,Delivery,0
No,No,Banashankari,Delivery,Not specified,South Indian,50.0,Delivery,0
Yes,No,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",225.0,Delivery,1
No,No,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",400.0,Delivery,0
Yes,No,Basavanagudi,Quick Bites,Not specified,South Indian,100.0,Delivery,1
Yes,Yes,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",250.0,Delivery,1
Yes,No,Banashankari,Quick Bites,Not specified,"South Indian, Chinese, North Indian, Juices",150.0,Delivery,1
Yes,No,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",325.0,Delivery,1
Yes,No,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",200.0,Delivery,1
Yes,No,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",250.0,Delivery,1
Yes,No,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",225.0,Delivery,1
Yes,No,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",250.0,Delivery,1
Yes,No,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",375.0,Delivery,0
Yes,No,Kumaraswamy Layout,Beverage Shop,Not specified,"Beverages, Juices, Ice Cream",75.0,Delivery,1
Yes,No,Kumaraswamy Layout,Quick Bites,Not specified,"North Indian, Chinese",125.0,Delivery,0
Yes,No,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",175.0,Delivery,0
Yes,No,Basavanagudi,"Takeaway, Delivery",Not specified,Biryani,150.0,Delivery,0
Yes,No,Banashankari,Quick Bites,Not specified,Biryani,150.0,Delivery,0
Yes,No,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",400.0,Delivery,0
Yes,No,Basavanagudi,"Dessert Parlor, Sweet Shop",Not specified,"Desserts, Mithai",150.0,Delivery,0
Yes,No,Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",200.0,Delivery,1
Yes,No,Basavanagudi,Quick Bites,Not specified,"South Indian, Chinese",75.0,Delivery,1
Yes,Yes,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",600.0,Delivery,1
Yes,No,Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",75.0,Delivery,0
Yes,No,Kumaraswamy Layout,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",150.0,Delivery,0
Yes,No,Banashankari,Sweet Shop,Not specified,"Mithai, Street Food",200.0,Delivery,1
Yes,No,Banashankari,"Takeaway, Delivery",Not specified,"Italian, Pizza",200.0,Delivery,0
Yes,No,Banashankari,Quick Bites,Not specified,Biryani,100.0,Delivery,0
Yes,No,Banashankari,Quick Bites,Not specified,"North Indian, Fast Food, Rolls",125.0,Delivery,1
Yes,No,Basavanagudi,Bakery,Not specified,Bakery,200.0,Delivery,1
Yes,No,Basavanagudi,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",250.0,Delivery,1
Yes,No,Banashankari,Quick Bites,Not specified,South Indian,75.0,Delivery,0
Yes,No,Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",225.0,Delivery,0
Yes,No,Basavanagudi,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,100.0,Delivery,1
Yes,No,Kumaraswamy Layout,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",125.0,Delivery,1
Yes,No,Banashankari,Casual Dining,Not specified,"Biryani, Andhra, Hyderabadi, North Indian",350.0,Delivery,0
Yes,Yes,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",325.0,Delivery,1
Yes,No,Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",150.0,Delivery,1
Yes,No,Kumaraswamy Layout,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,350.0,Delivery,1
Yes,No,Banashankari,Quick Bites,Not specified,"Fast Food, Italian, Beverages",250.0,Delivery,0
Yes,No,Kumaraswamy Layout,Quick Bites,Not specified,"Bengali, Chinese, Sandwich",175.0,Delivery,0
Yes,No,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,75.0,Delivery,1
Yes,No,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",200.0,Delivery,1
Yes,No,Basavanagudi,Quick Bites,Not specified,South Indian,50.0,Delivery,1
Yes,No,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",100.0,Delivery,1
Yes,No,Kumaraswamy Layout,Quick Bites,Not specified,South Indian,75.0,Delivery,1
Yes,No,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,150.0,Delivery,1
Yes,No,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,175.0,Delivery,1
Yes,No,Basavanagudi,Quick Bites,Not specified,South Indian,50.0,Delivery,0
Yes,No,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,250.0,Delivery,1
Yes,No,Basavanagudi,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",375.0,Delivery,1
Yes,No,Kumaraswamy Layout,Casual Dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",275.0,Delivery,0
Yes,No,Banashankari,Quick Bites,Not specified,"South Indian, North Indian, Chinese, Street Food",100.0,Delivery,1
Yes,No,Banashankari,Quick Bites,Not specified,South Indian,150.0,Delivery,0
Yes,No,Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,100.0,Delivery,1
Yes,No,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",200.0,Delivery,0
Yes,No,Banashankari,Casual Dining,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",375.0,Delivery,1
Yes,No,Jayanagar,Casual Dining,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani",325.0,Delivery,1
Yes,No,Basavanagudi,Dessert Parlor,Not specified,Fast Food,125.0,Delivery,0
Yes,No,Basavanagudi,Quick Bites,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",250.0,Delivery,1
Yes,No,Basavanagudi,Quick Bites,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food",125.0,Delivery,1
Yes,No,Banashankari,Quick Bites,"French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food",75.0,Delivery,0
Yes,No,Banashankari,Casual Dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,250.0,Delivery,0
Yes,Yes,Jayanagar,Casual Dining,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","North Indian, Chinese, BBQ",750.0,Delivery,1
Yes,No,Jayanagar,Quick Bites,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food",150.0,Delivery,1
Yes,No,Banashankari,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",400.0,Delivery,1
Yes,No,Uttarahalli,Casual Dining,Biryani,"North Indian, Chinese",350.0,Delivery,0
Yes,No,Banashankari,Casual Dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,350.0,Delivery,0
Yes,No,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",275.0,Delivery,1
Yes,No,Kumaraswamy Layout,Quick Bites,Not specified,"Fast Food, Street Food",100.0,Delivery,0
Yes,No,Kumaraswamy Layout,Quick Bites,Not specified,North Indian,150.0,Delivery,0
Yes,No,Kumaraswamy Layout,Casual Dining,Not specified,"North Indian, Chinese, Biryani, Kebab",250.0,Delivery,0
Yes,Yes,Jayanagar,Casual Dining,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","Italian, Salad",650.0,Delivery,1
Yes,No,Kumaraswamy Layout,Quick Bites,Not specified,"North Indian, Chinese",175.0,Delivery,1
Yes,No,Banashankari,Dessert Parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",250.0,Delivery,1
Yes,No,Jayanagar,Casual Dining,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken","Andhra, Seafood, North Indian, Chinese",350.0,Delivery,1
Yes,Yes,Jayanagar,Casual Dining,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","Mangalorean, Seafood, South Indian",500.0,Delivery,1
Yes,No,Jayanagar,Quick Bites,Not specified,Andhra,200.0,Delivery,0
Yes,No,Jayanagar,Casual Dining,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani","South Indian, Biryani, Chinese, North Indian",375.0,Delivery,0
Yes,Yes,Jayanagar,Casual Dining,Not specified,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",250.0,Delivery,0
Yes,No,JP Nagar,Casual Dining,Not specified,South Indian,200.0,Delivery,0
Yes,No,Jayanagar,Beverage Shop,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano","Beverages, Tea",125.0,Delivery,1
Yes,No,Jayanagar,Quick Bites,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha","North Indian, Street Food",100.0,Delivery,1
Yes,No,Basavanagudi,Quick Bites,"Pizza, White Sauce Pasta, Masala Garlic Bread","Pizza, Italian",300.0,Delivery,1
Yes,No,Kumaraswamy Layout,Quick Bites,"Burgers, Fries, Mojito, Chicken Burger","Cafe, Burger, Beverages",325.0,Delivery,0
No,No,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",275.0,Delivery,1
No,No,Basavanagudi,Quick Bites,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry","South Indian, Mangalorean",225.0,Delivery,1
No,No,Mysore Road,Quick Bites,Not specified,South Indian,150.0,Delivery,0
